Add New Quote,Aggiungi un nuovo preventivo
Name,Nome
Gift Message,Messaggio regalo
From:,A partire dal:
To:,A:
Message:,Messaggio:
Sub Total,Totale parziale
Grand Total,Somma totale
Compare Products,Confronta Prodotti
Print This Page,Stampa questa pagina
Remove Product,Rimuovi prodotto
Add to Cart,Aggiungi al carrello
Add to Quote,Aggiungi al preventivo
In stock,disponibile
Add to Wish List,Aggiungi alla lista dei desideri
You have no items to compare.,Non hai articoli da confrontare.
Remove This Item,Rimuovi questo articolo
Compare,Confrontare
Clear All,Cancella tutto
We can't find products matching the selection.,Non possiamo trovare prodotti corrispondenti alla selezione.
Learn More,Per saperne di più
Shopping Cart Items,Articoli del carrello
Item,Articolo
Continue Shopping,Continua a fare acquisti
Clear Quote,Cancella Preventivo
Update Quote,Aggiorna preventivo
Move to Shopping Cart,Sposta nel carrello
Quotes,Preventivi
Quote #,Preventivo #
Date,Data
Status,Stato
Actions,Azioni
View Quote,Visualizza preventivo
Delete Quote,Elimina preventivo
There is no quote yet.,Non c'è ancora nessuna preventivo.
Add Note,Aggiungi nota
See price before order confirmation.,Vedi il prezzo prima di confermare l'ordine.
What's this?,Che cos'è questo?
Remove item,Rimuovi prodotto
You have no items in your quote.,Non ci sono articoli nel tuo preventivo.
"Click <a href=""%1"">here</a> to continue shopping.","Fai clic <a href=""%1""> qui </a> per continuare a fare acquisti."
Complete address for tax,Indirizzo completo per la tassa
Sign in for taxes,Registrati per le tasse
Quote Summary,Sommario delle preventivi
* Required Fields,* Campi richiesti
Enter your details,Inserisci i tuoi dettagli
Email Address,Indirizzo email
Phone,Telefono
Tax Id,Tax Id
Thank you for your interest!,Grazie per il vostro interesse!
"Your Quote Request # is: <a href=""%1"">%2</a>.","La tua richiesta di offerta # è: <a href=""%1"">%2 </a>."
Your Quote Request # is: %1.,Il tuo numero di richiesta di offerta è:%1.
We'll email you a Quote Request confirmation email with a link to track progress.,Ti invieremo un'email di conferma con richiesta di preventivo con un link per monitorare i progressi.
Print Quote,Stampa preventivo
"<span class=""label"">Quote Date:</span> %1","<span class = ""label""> Data di preventivo: </ span>%1"
Product Name: ,Nome del prodotto:
Items Ordered,Articoli ordinati
Product Name,nome del prodotto
Expire at: %1,Scadenza:%1
%store_name: New Quote Request,%store_name: nuova richiesta di preventivo
%customer_name ,%Nome del cliente
The expire date has been changed to ,La data di scadenza è stata modificata in
Quote Request ,Richiesta di preventivo
Placed on ,Posto su
Your Quote Request has been reviewed and accepted. Please click,La tua richiesta di preventivo è stata esaminata e accettata. Per favore clicca
here,Qui
to place order.,per ordinare
Expired at: ,Scaduto a:
Your Quote Request has been cancelled,La tua richiesta di preventivo è stata annullata
Your Quote Request has been cancelled.,La tua richiesta di preventivo è stata annullata.
Your Quote Request has been expired,La tua richiesta di preventivo è scaduta
Your Quote Request has been expired.,La tua richiesta di preventivo è scaduta.
Thank you for your quote request from %store_name.,Grazie per la tua richiesta di preventivo da%store_name.
"You can check the status of your quote request by <a href=""%account_url"">logging into your account</a>.","Puoi controllare lo stato della tua richiesta di preventivo tramite <a href=""%account_url""> accedere al tuo account </a>."
Your quotation details are below. Thank you again for your interest.,I tuoi dati di preventivo sono sotto. Grazie ancora per il tuo interesse.
"If you have questions about your quote request  you can email us at <a href=""mailto:%store_email"">%store_email</a>",Se hai domande sulla tua richiesta di preventivo
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","oppure chiamaci al <a href=""tel:%store_phone"">%store_phone </a>"
"Our hours are <span class=""no-link"">%store_hours</span>.","Le nostre ore sono <span class = ""no-link"">%store_hours </ span>."
Your Quote Request has been reviewed,La tua richiesta di preventivo è stata esaminata
Your Quote Request has been reviewed.,La tua richiesta di preventivo è stata esaminata.
Password,Parola d'ordine
You already have an account with us. Sign in or continue as guest.,Hai già un account con noi. Accedi o continua come ospite.
Login,Accesso
Forgot Your Password?,Hai dimenticato la password?
My Cart,La mia carta
Close,Vicino
item,articolo
items,elementi
View Quote Request,Visualizza Richiesta di preventivo
Recently added item(s),Articoli aggiunti di recente
View and edit quote request,Visualizza e modifica la richiesta di preventivo
See Details,Vedi i dettagli
Options Details,Dettagli delle opzioni
Update,Aggiornare
Cart Subtotal,Carrello Totale parziale
Shipping Address,indirizzo di spedizione
New Address,Nuovo indirizzo
Shipping Methods,Metodi di spedizione
Select Method,Selezionare il metodo
Method Title,Titolo del metodo
Carrier Title,Titolo del trasportatore
Next,Il prossimo
Sorry  no quotes are available for this order at this time,Spiacenti
Adding...,Aggiunta ...
Added,aggiunto
"<a href=""http://landofcoder.com"" target=""_BLANK"" title=""""Magento Marketplace  Opencart Marketplace  Magento 2 Extension  Free Magento Extension  Opencart Advanced Reports"">landofcoder.com</a>","<a href=""http://landofcoder.com"" target=""_BLANK"" title=""Magento Marketplace"
Request for Quote,Richiesta di preventivo
General Setting,Impostazioni generali
Enabled,Abilitato
Icon,Icona
Email Sender,Email mittente
Send Quote Email Copy to,Invia copia e-mail Copia a
Comma-separated.,Separato da virgola.
Send Quote e-mail notification to,Invia una notifica via e-mail a
Enabled Quote On Categories,Abilitato Preventivo Categorie
Enabled/Disable the add to quote button on categories page.,Abilitato / Disabilita il pulsante aggiungi a preventivo nella pagina delle categorie.
Enabled Quote On Search Result,Abilitato Preventivo sul risultato della ricerca
Enabled/Disable the add to quote button on search result page.,Abilitato / Disabilita il pulsante aggiungi a preventivo nella pagina dei risultati di ricerca.
Enabled Quote On Product,Abilitato Preventivo sul prodotto
Enabled/Disable the add to quote button on product detail page.,Abilitato / Disabilita il pulsante aggiungi a preventivo nella pagina dei dettagli del prodotto.
Customer Groups,Gruppi di clienti
Just show add to quote for special customer groups.,Basta mostrare un preventivo per gruppi di clienti speciali.
Show quote for special products,Mostra preventivo per prodotti speciali
Show quote for special categories,Mostra preventivo per categorie speciali
Enabled Price On Quote Page,Abilitato pagina di preventivo
Enabled Edit Price On Quote Page,Abilitato Modifica pagina prezzo su preventivo
Quote Sidebar,Preventivo Sidebar
Display Shopping Cart Sidebar,Visualizza la barra laterale del carrello acquisti
Maximum Display Recently Added Item(s),Visualizzazione massima Articoli aggiunti di recente
Email Templates,Modelli di email
Accept Quote,Accetta preventivo
Quote Cancelled,Preventivo annullato
Quote Reviewed,Preventivo recensita
Quote Expired,Preventivo scaduta
Change Expired Date,Cambia la data scaduta
Quote Item Setting,Impostazione dell'elemento di preventivo
Limit Useage the quote item,Limita l'uso dell'elemento preventivo
Limit useage the quote to generate order on frontend. Default: 100,Limita l'uso della preventivo per generare ordini sul frontend. Impostazione predefinita: 100
Set Expiry days,Imposta giorni di scadenza
Set number days after the quote created date. Default: 10,Imposta i giorni di numero dopo la data di creazione dell'offerta. Impostazione predefinita: 10
Quote Sidebar Setting,Impostazione della barra laterale di preventivo
Enabled First Name,Abilitato Nome
Enabled Last Name,Abilitato Cognome
Enabled Phone Number,Numero di telefono abilitato
Enabled Company,Azienda abilitata
Enabled Address,Indirizzo abilitato
Enabled Tax Id,ID fiscale abilitato
order-header,ordine-header
Description,Descrizione
Store View,Store View
Delete items,Elimina elementi
Are you sure you wan't to delete selected items?,Sei sicuro di non voler cancellare gli oggetti selezionati?
ID,ID
Created,Creato
Your quote request has been received!,La tua richiesta di preventivo è stata ricevuta!
Only update quote billing/shipping address,Aggiorna solamente i dettagli relativi agli indirizzi di fatturazione e spedizione
